Spelling  nchar  LogFreq_Zipf  DomPoS  FreqCount  BNC_freq  Spell_check  Double_word_entry
abysses  7  1.3  noun  3  2  UKUS  
ac  2  3.27  name  376  790  UKUS  
acacia  6  2.85  noun  142  46  UKUS  
acacias  7  1.74  noun  10  4  UKUS  
academe  7  1.17  noun  2  40  UKUS  
academia  8  2.72  noun  105  102  UKUS  
academic  8  4  adjective  2024  4848  UKUS  
academically  12  2.89  adverb  156  180  UKUS  
academicals  11  2.19  name  30  26  UKUS  
academician  11  1.93  name  16  35  UKUS  
academicians  12  1.97  name  18  14  UKUS  
academics  9  3.33  noun  428  808  UKUS  
academies  9  3.6  noun  801  79  UKUS  
academy  7  4.22  name  3372  1393  UKUS  
acanthus  8  2.59  noun  77  62  UKUS  
acc  3  1.84  name  13  92  UKUS  
accede  6  1.93  verb  16  100  UKUS  
acceded  7  1.9  verb  15  112  UKUS  
acceding  8  1.3  verb  3  25  UKUS  
accelerando  11  1.3  noun  3  2  UKUS  
accelerant  10  2.04  noun  21  0  UKUS  
accelerants  11  1.39  noun  4  2  UKUS  
accelerate  10  3.38  verb  482  423  UKUS  
accelerated  11  3.25  verb  355  688  UKUS  
accelerates  11  2.66  verb  91  72  UKUS  
accelerating  12  3.11  verb  258  305  UKUS  
acceleration  12  3.39  noun  498  662  UKUS  
accelerations  13  1.7  noun  9  17  UKUS  
accelerator  11  3.19  noun  311  335  UKUS  
accelerators  12  2.21  noun  32  61  UKUS  
accelerometer  13  1.7  noun  9  1  UKUS  
accelerometers  14  1.81  noun  12  3  UKUS  
accent  6  4.16  noun  2884  1442  UKUS  
accented  8  1.74  adjective  10  61  UKUS  
accents  7  3.4  noun  500  438  UKUS  
accentuate  10  2.73  verb  108  98  UKUS  
accentuated  11  2.35  verb  44  222  UKUS  
accentuates  11  1.97  verb  18  39  UKUS  
accentuating  12  1.97  verb  18  38  UKUS  
accept  6  4.83  verb  13560  9807  UKUS  
acceptability  13  2.17  noun  29  281  UKUS  accept ability
acceptable  10  4.14  adjective  2802  3651  UKUS  
acceptably  10  1.54  adverb  6  33  UKUS  
acceptance  10  3.52  noun  661  2658  UKUS  
acceptances  11  1.3  noun  3  85  UKUS  
acceptation  11  1.39  noun  4  5  UKUS  
accepted  8  4.38  verb  4813  8940  UKUS  
accepting  9  3.72  verb  1059  1771  UKUS  
accepts  7  3.5  verb  639  818  UKUS  
access  6  4.75  noun  11333  10940  UKUS  
accessed  8  3.04  verb  220  362  UKUS  
accesses  8  1.95  verb  17  88  UKUS  
accessibility  13  2.88  noun  153  317  UKUS  
accessible  10  3.77  adjective  1196  1642  UKUS  
accessibly  10  1.17  adverb  2  8  UKUS  
accessing  9  3.08  verb  244  169  UKUS  
accession  9  2.88  noun  151  534  UKUS  
accessories  11  3.45  noun  572  533  UKUS  
accessorize  11  1.7  noun  9  3  UKUS  
accessorized  12  1.17  verb  2  1  UKUS  
accessory  9  3.32  adjective  424  220  UKUS  
accident  8  4.68  noun  9560  6420  UKUS  
accidental  10  3.44  adjective  555  743  UKUS  
accidentally  12  3.76  adverb  1157  547  UKUS  
accidently  10  2.02  adverb  20  20  UKUS  
accidents  9  3.99  noun  1958  1975  UKUS  
acclaim  7  3.09  noun  246  266  UKUS  
acclaimed  9  3.17  adjective  300  300  UKUS  
acclaiming  10  1.17  verb  2  7  UKUS  
acclaims  8  1.3  verb  3  4  UKUS  
acclamation  11  1.84  noun  13  42  UKUS  
acclimate  9  1.3  verb  3  0  UKUS  
acclimated  10  1.3  verb  3  2  UKUS  
acclimatize  11  1.17  verb  2  14  UKUS  
accolade  8  3.21  noun  329  165  UKUS  
accolades  9  2.81  noun  128  38  UKUS  
accommodate  11  3.67  verb  935  1393  UKUS  
accommodated  12  2.65  verb  89  464  UKUS  
accommodates  12  2.08  verb  23  69  UKUS  
accommodating  13  2.94  verb  175  227  UKUS  
accommodation  13  4.21  noun  3234  4378  UKUS  
accommodations  14  2.23  noun  33  45  UKUS  
accompanied  11  3.66  verb  918  3349  UKUS  
accompanies  11  2.55  verb  70  237  UKUS  
accompaniment  13  3.09  noun  248  418  UKUS  
accompaniments  14  2.41  noun  51  61  UKUS  
accompanist  11  2.31  noun  40  27  UKUS  
accompanists  12  1.17  noun  2  4  UKUS  
accompany  9  3.44  verb  551  903  UKUS  
